pattern,entity,priority,note,source
CRYOCATH,CryoCath,10,"reports arrive as MEDTRONIC CRYOCATH LP, so this must be tested before the plain MEDTRONIC pattern",
AFFERA,Affera,10,"tested before MEDTRONIC for the same reason; no report had been filed under this name by 2026-09, Sphere-9 arriving as Medtronic, so the row is kept for the day one does",
EPIX THERAPEUTICS,EPiX Therapeutics,10,tested before MEDTRONIC for the same reason,
MEDTRONIC,Medtronic,100,,
^MPRI$,Medtronic,100,"Medtronic Puerto Rico; names no company, identified from the brands it reports (Sprint Quattro, CapSureFix)",
IPG MFG SWITZERLAND,Medtronic,100,"names no company, identified from the brands it reports (Azure, Sensia)",
COVIDIEN,Covidien,100,,
\bEV3\b|MICRO THERAPEUTICS,ev3,100,,
BOSTON SCIENTIFIC,Boston Scientific,100,,
FARAPULSE,Farapulse,100,,
GUIDANT,Guidant,100,,
CARDIAC PACEMAKERS,Cardiac Pacemakers,100,,
"^CPI[ ,.-]",Cardiac Pacemakers,100,Cardiac Pacemakers Inc,
CAMERON HEALTH,Cameron Health,100,,
BAYLIS MEDICAL,Baylis Medical,100,,
PREVENTICE,Preventice Solutions,100,,
EP TECHNOLOG|\bEPT\b,EP Technologies,100,,
GALIL MEDICAL,Galil Medical,100,,
ABBOTT,Abbott,100,,
"ST[. ]*JUDE",St. Jude Medical,100,,
THORATEC,Thoratec,100,,
CARDIOMEMS,CardioMEMS,100,,
IRVINE BIOMEDICAL,Irvine Biomedical,100,,
TELECTRONICS,Telectronics Pacing Systems,100,,
VENUSA,Abbott,100,"contract manufacturer building for Abbott; not an ownership relationship, so it resolves at this layer rather than in ownership.csv",
BIOSENSE,Biosense Webster,100,,
STOCKERT,Biosense Webster,100,"generator manufacturer for Biosense Webster; the relationship is documented but its date is not, so it resolves here rather than in ownership.csv",
ABIOMED,Abiomed,100,,
ATRICURE,AtriCure,100,,
BIOTRONIK,Biotronik,100,,
\bBARD\b,C. R. Bard,100,,
"BECTON|^BD[ ,.-]",Becton Dickinson,100,,
CARDIOFOCUS,CardioFocus,100,,
\bCOOK\b,Cook Medical,100,,
CORDIS,Cordis,100,,
DEFIBTECH,Defibtech,100,,
EDWARDS,Edwards Lifesciences,100,,
DATASCOPE,Datascope,100,,
MAQUET,Maquet,100,,
GETINGE,Getinge,100,,
\bGORE\b,W. L. Gore,100,,
LIVANOVA,LivaNova,100,,
SORIN,Sorin,100,,
CYBERONICS,Cyberonics,100,,
MASIMO,Masimo,100,,
MERIT MEDICAL,Merit Medical,100,,
MICROPORT,MicroPort,100,,
NIHON KOHDEN,Nihon Kohden,100,,
PENUMBRA,Penumbra,100,,
SPECTRANETICS,Spectranetics,100,,
VOLCANO,Volcano,100,,
BIOTELEMETRY,BioTelemetry,100,,
PHILIPS,Philips,100,,
HEARTSINE,HeartSine Technologies,100,,
PHYSIO.?CONTROL,Physio-Control,100,,
STRYKER,Stryker,100,,
ARROW INT,Arrow International,100,,
TELEFLEX,Teleflex,100,,
TERUMO,Terumo,100,,
CARDIAC SCIENCE,Cardiac Science,100,,
\bZOLL\b,ZOLL,100,"terminal: ZOLL has been an Asahi Kasei subsidiary since 2012, but the field names ZOLL as the manufacturer and the chain stops at the operating company",
ACUTUS MEDICAL,Acutus Medical,100,,
NCONTACT,nContact Surgical,100,,
AV-TEMECULA,Abbott,100,"Abbott Vascular's Temecula plant; names no company, identified from the brands it reports (Perclose ProGlide, Xience)",
^PERFUSION SYSTEMS,Medtronic,100,"Medtronic Perfusion Systems; names no company, identified from the brands it reports (Affinity, Bio-Console)",
PLEXUS,Medtronic,100,"contract manufacturer building Medtronic's temporary pacemakers and CareLink monitors; not an ownership relationship, so it resolves here rather than in ownership.csv",
MEDIVANCE,Medivance,100,,
REMOTE DIAGNOSTIC,Remote Diagnostic Technologies,100,,
"^HEI[ ,.]",Biosense Webster,100,"builds the CoolFlow irrigation pump for Biosense Webster; a contract relationship, so it resolves here",
STELLARTECH,Boston Scientific,100,"builds the Maestro and RF3000 ablation generators for Boston Scientific; a contract relationship, so it resolves here",
MEDFACT,Abbott,100,"builds the FIRMap catheter for Abbott; a contract relationship, so it resolves here",
ADAGIO,Adagio Medical,100,,
